AAPL_Value,EBAY_Value,GOOG_Value,INTC_Value,MSFT_Value,ORCL_Value,TotalValue,PreviousTotalValue,ArithmeticReturn,LogReturn
100.0,100.0,100.0,100.0,100.0,100.0,600.0,,,
106.38476854104803,105.61852056377603,94.42620666269357,102.38887775323823,98.69485716142763,98.59918765710107,606.1124183392847,600.0,0.0101873638988077,0.010135822459237059
100.61759611888853,99.16216527590784,88.19169912331574,108.91841253279566,96.51477884979653,89.02533110357697,582.4299830042813,606.1124183392847,-0.03907267796936409,-0.03985650031124833
99.10635489458414,93.34646865466229,86.95574005655878,107.9563555939154,98.89406949894503,88.86962994590914,575.1286186445748,582.4299830042813,-0.012536037932052824,-0.012615276981194216
112.06590951829428,92.95219896451596,92.7389407067391,115.44350332782888,104.51980714059964,91.28927086980056,609.0096305277784,575.1286186445748,0.058910321595632364,0.0572403808764343
111.43849334533638,89.35437803142105,95.35958953930664,104.56189127025237,104.7285754407125,86.09171838588537,591.5346460129143,609.0096305277784,-0.028694102094444673,-0.029113826415251502
114.55690046393698,82.42975154269303,104.04464659573493,101.17534629250491,112.6620622951086,93.16504474487056,608.033751934849,591.5346460129143,0.02789203647350602,0.027510138631989416
137.03606899299507,85.28832843929482,104.1241395584683,101.86948645353777,119.29987562619856,95.29595971132875,642.9138587818231,608.033751934849,0.05736541225874503,0.05578035410713327
136.3748881839745,81.37012765446721,102.0112107625618,100.07650175768592,121.93389141865332,101.14162892564404,642.9082487029867,642.9138587818231,-8.726019450011613e-06,-8.726057521940811e-06
132.21850235950006,71.53769805580922,92.03634230691002,99.20885150209111,113.87390959118643,95.80598537421942,604.6812891897163,642.9082487029867,-0.05945943233795825,-0.06130049702771734
107.884383144296,73.55839502762602,93.5458196643992,104.35127658201225,118.2237191729902,96.03417477627563,593.5977683675993,604.6812891897163,-0.01832952502461105,-0.018499592140449033
95.6269522939906,69.1719948312742,88.51820987338803,99.93967522212378,108.75516685338606,88.92416607362475,550.9361651477875,593.5977683675993,-0.07186954785415,-0.07458298264242764
100.9011968581983,82.92262521475982,95.4211311547214,100.34426764449252,111.8174938977212,98.92938005406968,590.3360948239629,550.9361651477875,0.07151450960857941,0.06907307723839162
104.9689675441914,91.54751830515059,95.72456038003453,112.78084351596374,119.95511285747118,103.07796714574535,628.0549697485568,590.3360948239629,0.06389389917931698,0.061935667130769506
115.64753958822834,91.86514889121506,100.28804724043809,115.08158629901563,126.82252248109971,106.20213566058435,655.906980160581,628.0549697485568,0.044346453341775005,0.04339128626973502
122.17419933190827,95.84744957616775,101.58469317795128,109.38107853606095,140.43600508460034,109.40538070554469,678.8288064122332,655.906980160581,0.03494676371036709,0.03434998936582368
106.58815366911102,88.87224351219169,94.3321830407651,94.3797321985808,132.99480671917857,100.50072895469705,617.6678480945242,678.8288064122332,-0.09009776506238565,-0.09441811937719105
120.9639710239775,98.08296682883348,92.3902083050342,103.21587017451668,144.58223282785534,113.15269801523509,672.3879471754523,617.6678480945242,0.0885914642469039,0.08488462595002133
130.20498000375085,102.27938053673591,103.99507311502909,108.99441050910345,147.07541520218615,111.82194980380396,704.3712091706094,672.3879471754523,0.04756667951814353,0.04647002665278333
127.57689938756619,100.04460776606932,101.5522111714375,102.22405119470172,148.79149256461264,103.81910867505576,684.0083707594431,704.3712091706094,-0.028909242947540936,-0.029335347445394226
137.4051889801533,97.1271928617577,104.19337558529926,111.85764102008963,150.55394875397877,109.74193479568054,710.8792819969593,684.0083707594431,0.03928447718802319,0.038532473666986325
152.61381857722603,87.83311680872049,107.70723087654993,122.71127009077702,155.25368526282642,108.66507927886019,734.78420089496,710.8792819969593,0.033627255011354995,0.03307422271107791
163.95743940122088,88.50587594382705,111.54076067009387,126.01075093798251,163.92763543647104,112.45488055696624,766.3973429465616,734.78420089496,0.04302370956411017,0.04212390784474311
180.69461642785535,90.32873214210368,114.28106691689949,130.6330984073402,171.3525823638566,106.12502792058633,793.4151241786417,766.3973429465616,0.03525296829475555,0.03464581066450087
190.45395369834407,83.94994921968053,122.59004658050685,139.53841019057737,184.96729265873637,105.06337761999525,826.5630299678404,793.4151241786417,0.041778767229215585,0.04092960527005766
168.20938404064083,86.65155474563007,114.47851464251113,121.18210377740634,176.0357152189012,99.51506411960378,766.0723365446934,826.5630299678404,-0.07318340069661788,-0.07599957624401268
156.84619375637828,75.5396583832675,99.39056192999433,118.70810400734482,171.83153729173893,97.24147065501222,719.5575260237362,766.0723365446934,-0.06071856181461721,-0.0626401235041018
181.2159851001621,100.09131337605758,115.2759914089273,131.5615918245482,195.25664950171821,106.57727034154064,829.9788015529541,719.5575260237362,0.15345718936386388,0.14276368425751784
196.10554620354355,114.44033977839379,122.13617203835513,138.03216714677603,199.65835745786276,108.70083601327143,879.0734186382026,829.9788015529541,0.05915165181735804,0.05746825921597234
225.61793989647506,132.28343822951763,120.82755283766515,131.9738723888184,222.3499943994317,111.73322812597753,944.7860258778854,879.0734186382026,0.07475212632578532,0.07209005482987324
262.8745765890162,139.4209307338469,126.75521901105297,105.28351307052269,223.98887236738128,112.09711654760834,970.4202283194284,944.7860258778854,0.027132283648801714,0.026770728541432542
319.229560744591,138.1599005350779,139.6806626090001,112.38623910700544,246.40852784364665,116.1643675965021,1072.0292584358233,970.4202283194284,0.10470621608162611,0.09957943182117376
287.01667741397387,131.78922183098814,125.6132801472459,114.99274068070163,230.35683328182887,121.19909194525637,1010.9678452999948,1072.0292584358233,-0.05695871885523163,-0.05864522090729589
269.79220417396186,120.48218078346792,138.55496218421595,98.33679376786905,221.7485088951136,113.91090025461524,962.8255500592436,1010.9678452999948,-0.047620006377616764,-0.04879117086643633
295.04653461721693,127.56491397789686,150.4983161359279,107.37543238801236,234.45297436762706,117.65391016789036,1032.5920816545715,962.8255500592436,0.07246019966029693,0.06995526125759756
329.4184219319451,127.50695605426462,149.74101065897372,111.44474715675041,244.23579992623056,131.86125976616634,1094.2081954943308,1032.5920816545715,0.059671301895932505,0.05795876748433207
327.60618545323473,143.39140479047055,156.9089010749646,124.17298567518343,254.7115419261333,123.17786496746187,1129.9688838874483,1094.2081954943308,0.03268179542099103,0.032159103400975796
301.0421822541983,143.16303227837318,174.0995239379961,135.9616938268918,255.17272627449285,131.99753809314961,1141.4366966651019,1129.9688838874483,0.010148786343744831,0.010097633215270975
303.70480715616486,155.88601161663135,176.8150494276614,144.03367089768395,259.4914834790213,143.5787824621373,1183.5098050393,1141.4366966651019,0.036859782497900895,0.03619670554181855
326.85258713638996,142.01304422863873,206.00371451514744,129.47276333966855,277.55254648511067,155.07817774857156,1236.9728334535268,1183.5098050393,0.045173287273654106,0.04418269681155792
309.82119200468935,154.96961277071674,206.12680800291287,128.5500427216344,274.8009975290658,161.8113886663401,1236.0800416953591,1236.9728334535268,-0.0007217553482360417,-0.0007220159390234697
341.10572194012246,179.26127337849644,214.2263666777318,127.12271325844536,298.8444385839343,159.96190380423053,1320.522417642961,1236.0800416953591,0.06831465042650797,0.06608231365130401
363.27161762404967,174.1548394400933,231.1588429779702,121.6428933775675,314.29969569232924,179.0734882230331,1383.601377335043,1320.522417642961,0.047768185416097175,0.04666236430911415
378.14021397171115,195.9337855582884,248.6657452975113,122.41279057598814,333.02021126599385,183.83861444717002,1462.011361116663,1383.601377335043,0.056670935043910964,0.05512333868665368
352.940787016778,178.29641407216698,227.81595371332037,121.43056047844341,311.5966377325353,179.71339204175698,1371.7937450550012,1462.011361116663,-0.06170787619102691,-0.0636939458288208
373.6433331635258,196.33840088935835,253.46682382115938,111.67599984540975,366.5283583992805,197.88483962985973,1499.5377557485933,1371.7937450550012,0.09312187867460375,0.08903771137176768
412.30468418345265,172.64064813752023,243.520165358218,112.13182220985676,365.3898811358435,187.81043368555862,1493.7976347104498,1499.5377557485933,-0.0038279269835910235,-0.003835272246832819
443.5559692493026,170.61919338938284,247.32806648792038,118.18999528149116,372.4031632261714,180.5041723066304,1532.6005599408988,1493.7976347104498,0.025976025352303145,0.02564437937254441
436.5867712416634,154.12170626872202,231.97513951227805,112.03952069996312,344.34447143114903,167.98213056823704,1447.0497397220129,1532.6005599408988,-0.05582068965326814,-0.05743918347316086
412.45683446620944,140.06166916639805,230.59473372669612,109.46917213289746,330.84669226971465,157.82414189448784,1381.2532436564036,1447.0497397220129,-0.04546940872830618,-0.04653558680482461
436.7178255655112,146.91210004731994,238.72933864200442,114.60419868436644,342.09392633505144,171.86775484967407,1450.9251441239276,1381.2532436564036,0.05044107645538709,0.049210148778202636
394.29902463296946,133.76325573464527,196.53400186218104,100.7989850971247,307.930001831297,152.48509731691098,1285.8103664751284,1450.9251441239276,-0.11379965280600046,-0.1208122284384456
372.2643018603877,125.39018368046014,194.94845393957127,102.71828993139133,301.6609257747245,149.99496045307737,1246.9771156396123,1285.8103664751284,-0.030201382605097526,-0.03066683997193185
342.45337801912075,107.84178311096332,186.97111691296604,87.19195715706874,285.63660164133455,145.71949862589776,1155.8143354673512,1246.9771156396123,-0.07310701939024833,-0.075917167103724
407.0516238879927,125.85426451121062,199.39483223430852,84.62818208518375,312.22837665823585,162.341581067584,1291.4988604445155,1155.8143354673512,0.11739301098242616,0.11099830330921609
393.8013734602136,114.20827410380797,186.5907623778738,74.39634335519179,290.79700824101633,155.3374274334636,1215.1311889715669,1291.4988604445155,-0.05913104053894702,-0.060951405777128924
346.64129550230643,95.73797881592435,164.36740125587988,60.66881918415065,259.5723569453158,127.93602881436571,1054.9238805179427,1215.1311889715669,-0.131843631294837,-0.1413834322687018
384.61634282565666,103.61862122837786,161.8202655924146,66.93110402691197,258.71417253904883,163.54946480439213,1139.249971016802,1054.9238805179427,0.07993571105571817,0.07690151256407708
371.2974504217838,118.18348625658325,173.4276860889385,70.79206260556897,284.35933448639554,174.83434747401338,1192.8943673332835,1139.249971016802,0.047087467791289805,0.04601246974695251
326.43859565859213,108.40290185257179,151.6829922326619,63.06300002735509,268.03811384203243,172.1180348892269,1089.7436385024403,1192.8943673332835,-0.08647096646238406,-0.09044012092407241
